id,set_id
oai:repositorio.utn.edu.ec:123456789/7700,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/11745,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/541,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7839,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7716,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7712,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/6504,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7715,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/2609,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/2602,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1080,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1083,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7845,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7725,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/993,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/5420,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/5422,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/8276,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/8152,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/11790,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/4359,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/4353,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/10463,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/9026,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/4355,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/11309,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/10364,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/607,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/10358,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/11568,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/2614,col_123456789_40
